"序号	股票代码	股票简称	单季度：净利润环比增长率	流通市值	流通市值2	"
"=""258""	=""600909""	=""华安证券""	=""588.71""	=""213.74""	=""213.74""	"
"=""259""	=""600917""	=""重庆燃气""	=""41.01""	=""124.01""	=""124.01""	"
"=""260""	=""600918""	=""中泰证券""	=""177.37""	=""172.20""	=""172.20""	"
"=""261""	=""600933""	=""爱柯迪""	=""50.78""	=""160.04""	=""160.04""	"
"=""262""	=""600941""	=""中国移动""	=""74.15""	=""328.50""	=""328.50""	"
"=""263""	=""600958""	=""东方证券""	=""83.64""	=""574.40""	=""574.40""	"
"=""264""	=""600968""	=""海油发展""	=""134.74""	=""292.76""	=""292.76""	"
"=""265""	=""600996""	=""贵广网络""	=""123.48""	=""131.94""	=""131.94""	"
"=""266""	=""600998""	=""九州通""	=""90.44""	=""214.37""	=""214.37""	"
"=""267""	=""600999""	=""招商证券""	=""87.46""	=""915.88""	=""915.88""	"
"=""268""	=""601001""	=""晋控煤业""	=""50.78""	=""292.40""	=""292.40""	"
"=""269""	=""601016""	=""节能风电""	=""43.50""	=""197.15""	=""197.15""	"
"=""270""	=""601019""	=""山东出版""	=""206.83""	=""127.51""	=""127.51""	"
"=""271""	=""601066""	=""中信建投""	=""83.56""	=""883.09""	=""883.09""	"
"=""272""	=""601098""	=""中南传媒""	=""104.01""	=""176.73""	=""176.73""	"
"=""273""	=""601101""	=""昊华能源""	=""88.73""	=""108.86""	=""108.86""	"
"=""274""	=""601108""	=""财通证券""	=""202.29""	=""313.92""	=""313.92""	"
"=""275""	=""601117""	=""中国化学""	=""64.61""	=""461.10""	=""461.10""	"
"=""276""	=""601139""	=""深圳燃气""	=""54.71""	=""195.62""	=""195.62""	"
"=""277""	=""601155""	=""新城控股""	=""377.40""	=""395.14""	=""395.14""	"
"=""278""	=""601158""	=""重庆水务""	=""41.94""	=""244.32""	=""244.32""	"
"=""279""	=""601162""	=""天风证券""	=""294.26""	=""236.58""	=""236.58""	"
"=""280""	=""601179""	=""中国西电""	=""107.23""	=""217.34""	=""217.34""	"
"=""281""	=""601186""	=""中国铁建""	=""46.91""	=""801.78""	=""801.78""	"
"=""282""	=""601198""	=""东兴证券""	=""711.39""	=""239.20""	=""239.20""	"
"=""283""	=""601231""	=""环旭电子""	=""47.11""	=""328.04""	=""328.04""	"
"=""284""	=""601236""	=""红塔证券""	=""245.16""	=""345.27""	=""345.27""	"
"=""285""	=""601258""	=""庞大集团""	=""222.54""	=""116.59""	=""116.59""	"
"=""286""	=""601336""	=""新华保险""	=""185.80""	=""561.82""	=""561.82""	"
"=""287""	=""601377""	=""兴业证券""	=""209.66""	=""470.66""	=""470.66""	"
"=""288""	=""601519""	=""大智慧""	=""48.06""	=""107.21""	=""107.21""	"
"=""289""	=""601555""	=""东吴证券""	=""511.87""	=""308.46""	=""308.46""	"
"=""290""	=""601598""	=""中国外运""	=""45.21""	=""186.59""	=""186.59""	"
"=""291""	=""601600""	=""中国铝业""	=""62.08""	=""540.15""	=""540.15""	"
"=""292""	=""601607""	=""上海医药""	=""97.86""	=""317.76""	=""317.76""	"
"=""293""	=""601608""	=""中信重工""	=""43.26""	=""145.80""	=""145.80""	"
"=""294""	=""601688""	=""华泰证券""	=""41.57""	=""886.23""	=""886.23""	"
"=""295""	=""601699""	=""潞安环能""	=""44.44""	=""504.95""	=""504.95""	"
"=""296""	=""601728""	=""中国电信""	=""52.67""	=""750.31""	=""750.31""	"
"=""297""	=""601788""	=""光大证券""	=""113.68""	=""513.73""	=""513.73""	"
