序,股票代码,股票简称,A股市值,A股市值
670,600686, 金龙汽车,100.89,100.89
671,600688, 上海石化,226.46,226.46
672,600699, 均胜电子,278.22,278.22
673,600702, 舍得酒业,180.41,180.41
674,600704, 物产中大,265.34,265.34
675,600707, 彩虹股份,292.81,292.81
676,600710, 苏美达,116.17,116.17
677,600711, ST盛屯,149.59,149.59
678,600717, 天津港,133.12,133.12
679,600718, 东软集团,140.11,140.11
680,600720, 中交设计,198.02,198.02
681,600726, 华电能源,163.71,163.71
682,600728, 佳都科技,114.43,114.43
683,600729, 重庆百货,119.48,119.48
684,600732, 爱旭股份,232.84,232.84
685,600737, 中粮糖业,201.27,201.27
686,600739, 辽宁成大,164.29,164.29
687,600750, 江中药业,138.32,138.32
688,600754, 锦江酒店,233.26,233.26
689,600755, 厦门国贸,139.58,139.58
690,600757, 长江传媒,104.74,104.74
691,600761, 安徽合力,164.6,164.6
692,600763, 通策医疗,195.11,195.11
693,600764, 中国海防,180.64,180.64
694,600765, 中航重机,271.14,271.14
695,600776, 东方通信,109.84,109.84
696,600777, ST新潮,173.41,173.41
697,600779, 水井坊,232,232
698,600782, 新钢股份,123.31,123.31
699,600787, 中储股份,134.63,134.63
